127.0.0.1 - - [12/Nov/2016:17:24:46 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:13 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:14 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:19 +0530] "GET /SmartHealthweb/ViewHealth HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:26 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:26 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:29 +0530] "GET /SmartHealthweb/ViewHealth HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:34 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:34 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:42 +0530] "GET /SmartHealthweb/UpdateHealth HTTP/1.1" 200 10977
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:56 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:56 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:40:50 +0530] "GET /SmartHealthweb/UpdateHealth HTTP/1.1" 200 10977
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:44:27 +0530] "POST /SmartHealthweb/updateHealth HTTP/1.1" 200 10977
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:44:37 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:44:37 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:44:40 +0530] "GET /SmartHealthweb/UpdateHealth HTTP/1.1" 200 10977
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:00 +0530] "GET /SmartHealthweb/ViewHealth HTTP/1.1" 500 1421
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:08 +0530] "GET /SmartHealthweb/ HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:15 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:15 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:22 +0530] "GET /SmartHealthweb/GetAllForum HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:25 +0530] "GET /SmartHealthweb/GetAllPost?id=16 HTTP/1.1" 200 10825
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:33 +0530] "GET /SmartHealthweb/GetAllComment?name=t&time=2016-11-05%2021:14:40.0 HTTP/1.1" 200 5132
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:41 +0530] "GET /SmartHealthweb/CreateForum HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:27:46 +0530] "GET /SmartHealthweb/ViewFriends HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:06 +0530] "GET /SmartHealthweb/RequestView HTTP/1.1" 200 4847
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:09 +0530] "GET /SmartHealthweb/AllUser HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:16 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:16 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:19 +0530] "GET /SmartHealthweb/ViewHealth HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:23 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:23 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:26 +0530] "GET /SmartHealthweb/ViewHealth HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:29 +0530] "POST /SmartHealthweb/healthdata HTTP/1.1" 200 5404
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:37 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:37 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:42 +0530] "GET /SmartHealthweb/UpdateHealth HTTP/1.1" 200 10977
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:45 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:46 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:28:49 +0530] "GET /SmartHealthweb/AddHealth HTTP/1.1" 200 7617
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:30:49 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:30:49 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:19:30:53 +0530] "GET /SmartHealthweb/AddHealth HTTP/1.1" 200 7660
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:29:53 +0530] "GET /SmartHealthweb/logoutservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:29:53 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:31:36 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:31:36 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:34:58 +0530] "GET /SmartHealthweb/logoutservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:34:58 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:35:06 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:35:07 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:40:23 +0530] "GET /SmartHealthweb/logoutservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:40:23 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:40:31 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:23:40:31 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
